label,group,description,value,unit,rationale,reference,link
Fact_M_CO2e_lulucf_2016,ui,Emissionen LULUCF Deutschland 2016,-13727411,t/a,Offizieller Wert,"UBA 2023 Trendtabelle THG 1990-2022, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_lulucf_2017,ui,Emissionen LULUCF Deutschland 2017,-10705194,t/a,Offizieller Wert,"UBA 2023 Trendtabelle THG 1990-2022, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_lulucf_2018,ui,Emissionen LULUCF Deutschland 2018,-7656930,t/a,Offizieller Wert,"UBA 2023 Trendtabelle THG 1990-2022, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_lulucf_2019,ui,Emissionen LULUCF Deutschland 2019,-6822260,t/a,Offizieller Wert,"UBA 2023 Trendtabelle THG 1990-2022, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_lulucf_2020,ui,Emissionen LULUCF Deutschland 2020,4196835,t/a,Offizieller Wert,"UBA 2023 Trendtabelle THG 1990-2022, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_lulucf_2021,ui,Emissionen LULUCF Deutschland 2021,3998401,t/a,Offizieller Wert,"UBA 2023 Trendtabelle THG 1990-2022, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_lulucf_2022,ui,Emissionen LULUCF Deutschland 2021,-1816162,,Offizieller Wert,"UBA 2023 Trendtabelle THG 1990-2022, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_lulucf_2023,ui,Emissionen LULUCF Deutschland 2021,-12500000,,"Offizielle Schätzung UBA; Projizierte Entwicklung der Nettobilanz des LULUCF-Sektors; abgelesener Wert 2023 der LULUCF Emissionen mit Maßnahmen (MMS), da auch für Gesamtemissionen exkl. LULUCF nur MMS-Wert gegeben",UBA 2023 Projektionsbericht 2023 für Deutschland S. 235 (Abbildung 66),https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/39_2023_cc_projektionsbericht_2023.pdf
Fact_M_cost_per_CO2e_2020,ud,Klimakosten pro t CO2e 2020 mit 1% reine ZeitprÃ¤ferenzrate,195,â‚¬,"Die Klimakosten pro t CO2e werden mit 195â‚¬/t CO2e so konservativ wie in der UBA Tabelle mÃ¶glich angenommen, daher auch nicht fÃ¼r spÃ¤tere Jahre angepasst., ""Wir empfehlen die Verwendung eines Kostensatzes von 195â‚¬/ t CO2 Ã¤q fÃ¼r das Jahr 2020 bei einer HÃ¶hergewichtung der Wohlfahrt heutiger gegenÃ¼ber zukÃ¼nftigen Generationen"", mit der FuÃŸnote 1: ""Bei Verwendung einer reinen ZeitprÃ¤ferenzrate (RZPR) von 0% werden heutige und zukÃ¼nftige SchÃ¤den gleichgewichtet. Bei Verwendung einer reinen ZeitprÃ¤ferenzrate von 1% werden SchÃ¤den, die der nÃ¤chsten Generation (in 30 Jahren) entstehen, nur zu 74%, die der Ã¼bernÃ¤chsten Generation (in 60 Jahren) entstehenden SchÃ¤den nur zu 55% berÃ¼cksichtigt. Die Gewichtung mit RZPR=1% lÃ¤sst sich als Proxy fÃ¼r praktische Politikrelevanz verwenden. """,UBA 2020 Methodenkonvention 3.1 zur Ermittlung von Umweltkosten S. 8,https://www.umweltbundesamt.de/sites/default/files/medien/1410/publikationen/2020-12-21_methodenkonvention_3_1_kostensaetze.pdf
Fact_H_P_planning_cost_basis,ud,WÃ¤rmeleitplanung Sockelkosten,30000,â‚¬,Die kommunale WÃ¤rmeplanung umfasst eine Bestandsanalyse zum WÃ¤rmebedarf und zur Versorgungsstruktur sowie eine Analyse der vorhandenen Potenziale zur WÃ¤rmeversorgung mittels erneuerbarer Energien. Darauf aufbauend erstellen die Kommunen ein Szenario fÃ¼r eine klimaneutrale WÃ¤rmeversorgung im Jahr 2040.,Baden-WÃ¼rttemberg 2021 Pflicht zur kommunalen WÃ¤rmeleitplanung,https://um.baden-wuerttemberg.de/de/klima/klimaschutz-in-baden-wuerttemberg/klimaschutzgesetz/ https://um.baden-wuerttemberg.de/de/energie/informieren-beraten-foerdern/foerderprogramme/foerderprogramm-fuer-die-freiwillige-kommunale-waermeplanung/
Fact_H_P_planning_cost_per_capita,ud,WÃ¤rmeleitplanung Kosten pro Einwohner:in,0.75,â‚¬/EW,"Es gibt viele verschiedene FÃ¶rdersÃ¤tze (und eigentlich auch nur fÃ¼r 80% der Kosten) in Baden-WÃ¼rttemberg, sodass es unmÃ¶glich ist, diese in einer Zahl zusammenfassen. Als Kompromiss wurde fÃ¼r jede Kommune Basiskosten von 30.000â‚¬ plus 0,75â‚¬ pro Einwohner:in angesetzt, Ã¤hnlich wie es fÃ¼r einen Konvoi vorgesehen ist: ""Maximal 30.000 Euro plus 0,75 Euro je Einwohner""",Baden-WÃ¼rttemberg 2021 VwV freiwillige kommunale WÃ¤rmeplanung  S. 6,https://um.baden-wuerttemberg.de/fileadmin/redaktion/m-um/intern/Dateien/Dokumente/5_Energie/Beratung_und_Information/210915-VwV-Forrderrichtlinie-kommunale-Waermeplanung.pdf
Fact_H_P_planning_duration,ud,Dauer WÃ¤rmeleitplanung,1,a,"Im Gegensatz zu den meisten anderen MaÃŸnahmen findet die WÃ¤rmeleitplanung nur am Anfang der Transformation statt, innerhalb 1 Jahres wie es das Land Baden-WÃ¼rttemberg vorsieht:, ""Im Fall einer EinzelfÃ¶rderung ist der Verwendungsnachweis nach Nummer 7 ANBEST-K mit allen erforderlichen Anlagen spÃ¤testens 12 Monate nach Projektbeginn beim ProjekttrÃ¤ger einzureichen.""",Baden-WÃ¼rttemberg 2021 VwV freiwillige kommunale WÃ¤rmeplanung  S. 7,https://um.baden-wuerttemberg.de/fileadmin/redaktion/m-um/intern/Dateien/Dokumente/5_Energie/Beratung_und_Information/210915-VwV-Forrderrichtlinie-kommunale-Waermeplanung.pdf
Fact_H_P_heatnet_cogen_prodvol_2018,ui,KWK Heizkraftwerke der allgemeinen Versorgung WÃ¤rmeerzeugung 2021,97800000,MWh,"Heizkraftwerke sind eine Teilmenge der WÃ¤rmekraftwerke der allg. Versorgung, nÃ¤mlich die, die nicht nur Strom produzieren, sondern KWK betreiben","AG EB 2023 Auswertungstabellen 1990-2022 5.3, S.17",https://ag-energiebilanzen.de/wp-content/uploads/2023/10/awt_2022_deu-1.pdf
Fact_H_P_heatnet_cogen_coal_black_prodvol_2018,ui,KWK Heizkraftwerke der allgemeinen Versorgung WÃ¤rmeerzeugung aus Steinkohle 2021,19100000,MWh,KWK FernwÃ¤rmeerzeugung aus Steinkohle,"AG EB 2023 Auswertungstabellen 1990-2022 5.3, S.17",https://ag-energiebilanzen.de/wp-content/uploads/2023/10/awt_2022_deu-1.pdf
Fact_H_P_heatnet_cogen_coal_brown_prodvol_2018,ui,KWK Heizkraftwerke der allgemeinen Versorgung WÃ¤rmeerzeugung aus Braunkohle 2021,7800000,MWh,KWK FernwÃ¤rmeerzeugung aus Braunkohle,"AG EB 2023 Auswertungstabellen 1990-2022 5.3, S.17",https://ag-energiebilanzen.de/wp-content/uploads/2023/10/awt_2022_deu-1.pdf
Fact_H_P_heatnet_cogen_opetpro_prodvol_2018,ui,KWK Heizkraftwerke der allgemeinen Versorgung WÃ¤rmeerzeugung aus MineralÃ¶le 2021,300000,MWh,KWK FernwÃ¤rmeerzeugung aus MineralÃ¶l,"AG EB 2023 Auswertungstabellen 1990-2022 5.3, S.17",https://ag-energiebilanzen.de/wp-content/uploads/2023/10/awt_2022_deu-1.pdf
Fact_H_P_heatnet_cogen_gas_prodvol_2018,ui,KWK Heizkraftwerke der allgemeinen Versorgung WÃ¤rmeerzeugung aus Gase 2021,42400000,MWh,KWK FernwÃ¤rmeerzeugung aus Gas,"AG EB 2023 Auswertungstabellen 1990-2022 5.3, S.17",https://ag-energiebilanzen.de/wp-content/uploads/2023/10/awt_2022_deu-1.pdf
Fact_H_P_heatnet_cogen_renew_prodvol_2018,ui,KWK Heizkraftwerke der allgemeinen Versorgung WÃ¤rmeerzeugung aus erneuerbaren Energien 2021,18200000,MWh,KWK FernwÃ¤rmeerzeugung aus erneuerbaren Energien,"AG EB 2023 Auswertungstabellen 1990-2022 5.3, S.17",https://ag-energiebilanzen.de/wp-content/uploads/2023/10/awt_2022_deu-1.pdf
Fact_H_P_heatnet_cogen_ofossil_prodvol_2018,ui,KWK Heizkraftwerke der allgemeinen Versorgung WÃ¤rmeerzeugung aus sonstigen EnergietrÃ¤gern (inkl. MineralÃ¶l) 2021,10000000,MWh,KWK FernwÃ¤rmeerzeugung aus sonstigen (fossilen) EnergietrÃ¤gern (inkl. MineralÃ¶l),"AG EB 2023 Auswertungstabellen 1990-2022 5.3, S.17",https://ag-energiebilanzen.de/wp-content/uploads/2023/10/awt_2022_deu-1.pdf
Fact_H_P_heatnet_plant_prodvol_2018,ui,WÃ¤rme Fernheizwerke 2021,36699444.44444444,MWh,Umwandlungsausstoß Fernwärme aus Fernheizwerken 2021 (AG EB Zeile 28) ,AG EB 2023 Bilanz 2021 Zeile 28 Spalte AF,https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_H_P_coal_CO2e_cb_2018,ui,Verbrennungsbedingte CO2e Herstellung fester Brennstoffe/Kohle (CRF 1.A.1.c) 2021,8899300,,"Summe von CO2+CH4+N2O in Tabelle 3.2.6.1 (CRF 1.A.1.C). ""Der Kategorie 1.A.1.c werden der Steinkohlen- und Braunkohlenbergbau sowie die Kokereien und Brikettfabriken zugerechnet, auÃŸerdem die Gewinnung von RohÃ¶l und Erdgas."" Auf S. 182 wird allerdings deutlich, dass die Emissionen etwa 50/50 auf Braunkohle und Kokereigase (4.809 t S. 184) entfallen, nur minimal Erdgas. Da im Generator unter Kohle alle Kohleprodukte fallen, wird diese Kategorie komplett der Kohleproduktion zugeschlagen. Im NIR wird nicht ganz deutlich, was 2018 noch zu 1.A.1.c gehÃ¶rt, da z.B. viele Steinkohleanlagen umgemeldet wurden. Die verbrennungsbedingten Emissionen stammen aus dem ""Einsatz zur Wa rmeerzeugung, insbesondere zur Braunkohlentrocknung zur Herstellung von, Braukohlenprodukten"", ""CÃ–2-Emissionen aus der Gichtgasverbrennung in, Kokereien"" etc.",UBA 2023 NIR 2021 S.166,https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_coal_CO2e_pb_2018,ui,Produktionsbedingte CO2e (Diffuse Emissionen) Kohlebergbau und -umwandlung 2021 (CRF 1.B.1),793700,,"Summe aus CO2+CH4 in Tabelle 3.3.1 (CRF 1.B.1). Diffuse Emissionen (besonders CH4) in CRF 1.B.1:, ""Die Kategorie Kohlenbergbau und -umwandlung ist fÃ¼r CH4-Emissionen eine Hauptkategorie nach der EmissionshÃ¶he und dem Trend. Im Bergbau wird zwischen Tagebau, Gewinnung des Rohstoffs in offenen Gruben und Tiefbau, Abbau der LagerstÃ¤tte in untertÃ¤gigen AbbaurÃ¤umen unterschieden. In Deutschland wird Steinkohle ausschlieÃŸlich im Tiefbau, Braunkohle seit 2003 ausschlieÃŸlich im Tagebau gewonnen.""",UBA 2023 NIR 2021 S. 239,https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_gas_CO2e_cb_2018,ui,Verbrennungsbedingte CO2e Erdgas(netz) 2021 (CRF 1.A.3.e),847200,,"Summe von CO2+CH4+N2O in Tabelle 3.2.8.5.1 (CRF 1.A.3.c). ""In der Kategorie 1.A.3.e â€“ Ãœbriger Verkehr werden nur die Emissionen von Gasturbinen in Erdgasverdichterstationen des Transportnetzes berichtet. Die Emissionen aus Gasturbinen der FÃ¶rderstationen werden in der Kategorie 1.A.1.c berichtet. Die diffusen Emissionen aus den Verdichtern werden unter 1.B.2.b.iii & iv berichtet. """,UBA 2023 NIR 2021 S. 217,https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_gas_CO2e_pb_2018,ui,Prozessbedingte CO2e (Diffuse Emissionen) Gas 2021 (CRF 1.B.2.b),2303600,,"Summe von CO2+CH4 in Tabelle 3.3.2.2 /CRF 1.B.2.b). Gas: FÃ¶rderung, Verarbeitung, Transport, Verteilung, Sonstiges., S. 277: ""Die Kategorie 1.B.2.b â€žErdgasâ€œ ist fÃ¼r CH4-Emissionen aus Erdgas eine Hauptkategorie nach der EmissionshÃ¶he."", S. 288: ""Aus der Tiefe kommendes Erdgas wird u  ber Tage zuna chst in Trocknungs- und Aufbereitungsanlagen behandelt. Diese Vorbehandlung des Erdgases findet in der Regel in Anlagen auf der Fo  rderstation statt.""",UBA 2023 NIR 2021 S. 258,https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_opetpro_CO2e_1B2a_2018,ui,Prozessbedingte CO2e (Roh)Ã–l Lagerung etc. 2021 (CRF 1.B.2.a),428500,,"Summe von CO2+CH4+N2O in Tabelle 3.3.2.1 (CRF 1.B.2.a). Exploration, FÃ¶rderung, Transport, Lagerung, Verteilung von (Roh)Ã–l und anderen MineralÃ¶lprodukten, daher der Kategorie ""Sonstige MineralÃ¶lprodukte"" zugeschlagen",UBA 2023 NIR 2021 S. 245,https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_opetpro_CO2e_1B2c_2018,ui,Prozessbedingte CO2e (Roh)Ã–l Abfackelung 2021 (CRF 1.B.2.c),299400,,"Summe von CO2+CH4+N2O in Tabelle 3.3.2.3 (CRF 1.B.2.c). Ausblasen und Abfackeln von (Roh)Ã–l und Gas, aber Ã¼berwiegend Ã–l laut NIR DEU inventory Table1.B.2, daher der Kategorie ""Sonstige MineralÃ¶lprodukte"" zugeschlagen",UBA 2023 NIR 2021 S. 269,https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_orenew_CO2e_pb_2018,ud,Prozessbedingte CO2e sonstige EE (Geothermie) 2021 (CRF 1.B.2.d),0,,"CRF 1.B.2.d Geothermie hat keine Emissionen: ""Beim Betrieb der Geothermiekraftwerke und Geothermieheizwerke in Deutschland treten keine Emissionen von klimawirksamen Gasen auf. Der Thermalwasserkreislauf ist geschlossen und, wird unterta gig und oberta gig unter Luftabschluss betrieben, so dass wa hrend des Betriebs keine Emissionen auftreten. """,UBA 2023 NIR 2021 S. 272,https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_biomass_CO2e_pb_2018,ui,Prozessbedingte CO2e Biomasse und erneuerbare AbfÃ¤lle 2021,0,,"Die AG-EB-EnergietrÃ¤ger-Klasse Biomasse und erneuerbare AbfÃ¤lle hat keine Entsprechung in NIR CRF 1. Wir gehen jedoch davon aus, dass die Emissionen der Erzeugung und Lagerung bereits in der ursprÃ¼nglichen Produktion der Biomasse erfasst sind (also CRF 3), daher schreiben wir der Produktion/Bereitstellung dieses EnergietrÃ¤gers keine zusÃ¤tzlichen Emissionen zu. Zudem weist der NIR selbst die verbrennungsbedingten Emissionen der Biomasse nur nachrichtlich aus (NIR S. 877 FuÃŸnote 3)","keine explizite Quelle, Ausschlussverfahren mit AG EB 2023 Bilanz 2021 und UBA 2023 NIR 2021 (u.a. S. 857f)",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf ; https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_ofossil_CO2e_pb_2018,ui,"Prozessbedingte CO2e Sonstige (fossile) EnergietrÃ¤ger (Nichterneuerbare AbfÃ¤lle, AbwÃ¤rme) 2021",0,,"Die AG-EB-EnergietrÃ¤ger-Klasse Sonstige EnergietrÃ¤ger (Nicht-erneuerbare AbfÃ¤lle, AbwÃ¤rme) hat keine Entsprechung in NIR CRF 1. Wir gehen jedoch davon aus, dass die Emissionen der Erzeugung und Lagerung bereits in der ursprÃ¼nglichen Produktion des Abfalls bzw. der AbwÃ¤rme erfasst sind, daher schreiben wir der Produktion/Bereitstellung dieses abfallenden EnergietrÃ¤gers keine zusÃ¤tzlichen Emissionen zu.","keine explizite Quelle, Ausschlussverfahren mit AG EB 2023 Bilanz 2021 und UBA 2023 NIR 2021",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf ; https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_heatnet_cogen_CO2e_cb_2018,ui,Verbrennungsbedingte CO2e KWK-WÃ¤rme aus Heizkraftwerken der allgemeinen Versorgung 2021 (Teil aus 1.A.1.a),21447844,t/a,"Emissionen der KWK-FernwÃ¤rmeerzeugung mit eigener Berechnung: Alle EnergietrÃ¤ger in AG EB Zeile 15 Heizkraftwerke der allgemeinen Versorgung wurden mit den verbrennungsbedingten Emissionsfaktoren des UBA multipliziert und aufsummiert (Biomasse mit 0,062 t/ MWh fÃ¼r non-CO2-THG). Diese Emissionen werden dem CRF 1.A.1.a (Ã–ffentliche ElektrizitÃ¤ts- und WÃ¤rmeversorgung) entnommen und der WÃ¤rme zugeschlagen, auch wenn die Produktion der KWK-WÃ¤rme im Bereich Strom ausgewiesen wird.","AG EB 2023 Bilanz 2021 Zeile 15, NIR S. 854ff (Tabelle 481), extra Berechnungstabelle AG_EB_2023_Heizwerke_Kraftwerke_Industrie_2021.xlsx",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf ; https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_heatnet_plant_CO2e_cb_2018,ui,Verbrennungsbedingte CO2e WÃ¤rme aus Fernheizwerken 2021 (Teil aus CRF 1.A.1.a),7606301,t/a,"Emissionen der FernwÃ¤rmeerzeugung in Fernheizwerken mit eigener Berechnung: Alle EnergietrÃ¤ger in AG EB Zeile 16 Fernheizwerke wurden mit den verbrennungsbedingten Emissionsfaktoren des UBA multipliziert und aufsummiert (Biomasse mit 0,062 t/ MWh fÃ¼r non-CO2-THG). Diese Emissionen werden dem CRF 1.A.1.a (Ã–ffentliche ElektrizitÃ¤ts- und WÃ¤rmeversorgung) entnommen und der WÃ¤rme zugeschlagen.","AG EB 2023 Bilanz 2021 Zeile 15, NIR S. 854ff (Tabelle 481), extra Berechnungstabelle AG_EB_2023_Heizwerke_Kraftwerke_Industrie_2021.xlsx",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf ; https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023_cc_berichterstattung_unter_der_klimarahmenkonvention.pdf
Fact_H_P_heatnet_biomass_CO2e_cb_2018,ui,Verbrennungsbedingte CO2e aus non-CO2-THG der Biomasse-KWK-WÃ¤rme aus Heizkraftwerken der allgemeinen Versorgung 2021 (Teil aus 1.A.1.a),2720904,t/a,"Das UBA weist verbrennungsbedingte CO2-Emissionen bei Biomasse nur nachrichtlich aus (NIR 2021 S. 857 FuÃŸnote 3), weswegen wir auch so verfahren. Die non-CO2-THG, die wÃ¤hrend der Verbrennung auftreten, kÃ¶nnen jedoch mithilfe der Emissionsbilanz erneuerbarer EnergietrÃ¤ger errecht werden. FÃ¼r die FernwÃ¤rme-Erzeugung aus Biomasse der Allgemeinen Versorgung wurden 2.720.904 t/a fÃ¼r die non-CO2-THG-Emissionen aus der Verbrennung berechnet. ","UBA 2022 Emissionsbilanz EE 2021 Kapitel 5.3 (ab S. 105), extra Berechnungstabelle UBA_2022_EEE_EF_non-CO2-THG_Biomasse_2021.xlsx",https://www.umweltbundesamt.de/sites/default/files/medien/1410/publikationen/2022-12-09_climate-change_43-2022_emissionsbilanz_erneuerbarer_energien_2021.pdf
Fact_H_P_heatnet_biomass_fec_2018,ui,Erzeugte FernwÃ¤rme der Biomasse-KWK-WÃ¤rme aus Heizkraftwerken der allgemeinen Versorgung 2021 (Teil aus 1.A.1.a),43453000,MWh/a,"Das UBA weist verbrennungsbedingte CO2-Emissionen bei Biomasse nur nachrichtlich aus (NIR 2021 S. 857 FuÃŸnote 3), weswegen wir auch so verfahren. Die non-CO2-THG, die wÃ¤hrend der Verbrennung auftreten, kÃ¶nnen jedoch mithilfe der Emissionsbilanz erneuerbarer EnergietrÃ¤ger errecht werden. FÃ¼r die FernwÃ¤rme-Erzeugung aus Biomasse der Allgemeinen Versorgung wurden 43.453.000 MWh/a berechnet. ","UBA 2022 Emissionsbilanz EE 2021 Kapitel 5.3 (ab S. 105), extra Berechnungstabelle UBA_2022_EEE_EF_non-CO2-THG_Biomasse_2021.xlsx",https://www.umweltbundesamt.de/sites/default/files/medien/1410/publikationen/2022-12-09_climate-change_43-2022_emissionsbilanz_erneuerbarer_energien_2021.pdf 
